parameter,value,phi_star,half_life_star,welfare,regime,local_maxima_count
alpha,0.2,0.0,0.0,-0.5342290056318738,SHORT,3
alpha,0.4,0.009652499999999967,0.14936783866322517,-0.3307060553208643,SHORT,4
alpha,0.55,0.0,0.0,0.6041727161823601,SHORT,3
alpha,0.75,0.0,0.0,1.4700386916915464,SHORT,1
alpha,0.95,0.0,0.0,2.0646013550334787,SHORT,1
rho,0.0,0.7895249999999999,2.9330403400024156,-1.248666827323521,LONG,24
rho,0.25,0.007919999999999972,0.14326064969059726,-0.5929253033710892,SHORT,2
rho,0.55,0.0,0.0,0.6041727161823601,SHORT,3
rho,0.75,0.0009899999999999965,0.10019755095075962,1.5527835225390043,SHORT,2
rho,0.9,0.0,0.0,2.5785984238537716,SHORT,3
kappa,0.5,0.0,0.0,1.752175655506741,SHORT,1
kappa,0.8,0.0,0.0,1.181438814145033,SHORT,3
kappa,1.2,0.0,0.0,0.6041727161823601,SHORT,3
kappa,1.8,0.010147499999999964,0.1509950912536782,0.001961184075890743,SHORT,3
kappa,3.0,0.23661,0.4809040118924571,-0.6644409691009777,INTERMEDIATE,15
beta,0.75,0.43758,0.8386579060087543,-0.23418346140276047,INTERMEDIATE,14
beta,0.85,0.0027224999999999906,0.11735915285655837,0.037486012938637125,SHORT,6
beta,0.95,0.0,0.0,0.6041727161823601,SHORT,3
beta,0.98,0.002474999999999991,0.11549536976535951,0.8194325162601287,SHORT,1
misconduct_harm,0.0,0.0,0.0,1.17817271618236,SHORT,2
misconduct_harm,0.5,0.0,0.0,0.9390060495156934,SHORT,2
misconduct_harm,1.2,0.0,0.0,0.6041727161823601,SHORT,3
misconduct_harm,2.0,0.0,0.0,0.22150604951569342,SHORT,3
misconduct_harm,4.0,0.0,0.0,-0.7351606171509733,SHORT,6
horizon,2,0.99396,114.4125434480839,0.07617513708161643,NEAR_PERMANENT,16
horizon,4,0.001979999999999993,0.11135505471965709,0.17148049023299006,SHORT,4
horizon,6,0.0,0.0,0.6041727161823601,SHORT,3
horizon,8,0.0,0.0,0.9601736097770959,SHORT,2
horizon,10,0.002227499999999992,0.11350275473389503,1.2373055422951569,SHORT,2
