rho,alpha,phi_star,half_life_star,regime
0.0,0.2,0.0,0.0,SHORT
0.0,0.4,0.04083750000000003,0.21673348805211545,SHORT
0.0,0.6,0.0,0.0,SHORT
0.0,0.8,0.0,0.0,SHORT
0.0,1.0,0.004331249999999989,0.12737229567403904,SHORT
0.225,0.2,0.0,0.0,SHORT
0.225,0.4,0.5073749999999999,1.021580207680692,INTERMEDIATE
0.225,0.6,0.0034031249999999912,0.12196722189680569,SHORT
0.225,0.8,0.0,0.0,SHORT
0.225,1.0,0.0,0.0,SHORT
0.45,0.2,0.0018562499999999953,0.11021235071408225,SHORT
0.45,0.4,0.14850000000000002,0.36344272612800627,INTERMEDIATE
0.45,0.6,0.0006187499999999984,0.09382310204005997,SHORT
0.45,0.8,0.0,0.0,SHORT
0.45,1.0,0.0,0.0,SHORT
0.675,0.2,0.0,0.0,SHORT
0.675,0.4,0.0012374999999999968,0.10353729194739157,SHORT
0.675,0.6,0.0,0.0,SHORT
0.675,0.8,0.0,0.0,SHORT
0.675,1.0,0.0,0.0,SHORT
0.9,0.2,0.011446874999999971,0.15506514735826404,SHORT
0.9,0.4,0.0015468749999999962,0.10710734725589709,SHORT
0.9,0.6,0.0,0.0,SHORT
0.9,0.8,0.0,0.0,SHORT
0.9,1.0,0.0,0.0,SHORT
