alpha,misconduct_harm,value_of_adaptation,phi_clean,phi_adverse,phi_rehab,streak
0,0,0.0,0.0,0.0,0.0,1
0,0.6,0.0,0.0,0.0,0.0,1
0,1.2,0.08019990800906457,0.0,0.99,0.0,1
0,2.4,0.3476003228898378,0.0,0.99,0.0,1
0.3,0,0.026320552012001966,0.0,0.85,0.0,1
0.3,0.6,0.06246797614057725,0.0,0.99,0.0,1
0.3,1.2,0.19321975737816038,0.0,0.99,0.0,1
0.3,2.4,0.43646331520690507,0.0,0.99,0.0,1
0.55,0,0.0,0.0,0.0,0.0,3
0.55,0.6,0.0009968190222261475,0.45,0.0,0.0,3
0.55,1.2,0.0158953107945633,0.0,0.85,0.85,1
0.55,2.4,0.12609611803030352,0.0,0.99,0.0,1
0.8,0,0.0,0.0,0.0,0.0,3
0.8,0.6,0.0030222297504753914,0.8,0.0,0.0,3
0.8,1.2,0.0030222297504756135,0.8,0.0,0.0,3
0.8,2.4,0.0030222297504753914,0.8,0.0,0.0,3
