index,rho,alpha,misconduct_harm,horizon,original_regime,original_gain,refined_fixed_phi,refined_clean_phi,refined_nonclean_phi,refined_gain,gain_change,normalized_gain_fixed_range,prediction_phi_refined,prediction_welfare_distance,misconduct,repeat_misconduct,effort,quality,lower_bound_hit,upper_bound_hit,longer_horizon_fixed_policy_gain,nested_ok,grid_points
0,0.0,0.3,0.6,6,NEGLIGIBLE,0.0,0.0,0.0,0.03,6.99684716446991e-05,6.99684716446991e-05,7.602970371365155e-05,0.0,0.0,0.49999999668943146,0.0,0.683783210782441,0.2051349632347322,True,False,,True,6
1,0.0,0.3,0.6,12,NEGLIGIBLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,0.0,1.0223751559890597,0.30671254679671744,True,False,,True,6
2,0.0,0.3,1.8,6,LARGE,0.14261385543229255,0.0,0.0,0.99,0.14061819139249887,-0.0019956640397936765,0.21538213597488143,0.0,0.0,0.3054991414739911,0.0,0.04169767614963104,0.01250930284488931,True,True,,True,10
3,0.0,0.3,1.8,12,NEGLIGIBLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,0.0,1.0223751559890597,0.30671254679671744,True,False,,True,6
4,0.0,0.55,0.6,6,LARGE,0.10322190958543476,0.87,0.0,0.99,0.09691491899589816,-0.0063069905895365985,0.0510353448564972,0.79,-0.07999999999999996,0.3054991414739911,0.0,0.0777030399657594,0.042736671981167686,True,True,,True,19
5,0.0,0.55,0.6,12,MODERATE,0.063659751561425,0.88,0.0,0.91,0.09065580327364464,0.026996051712219638,0.03444303786999118,0.79,-0.08999999999999997,0.4999994137246493,0.0,1.2487819148389956,0.6868300531614485,True,False,,True,15
6,0.0,0.55,1.8,6,LARGE,0.3631055988709524,0.87,0.0,0.99,0.35679860828141563,-0.006306990589536765,0.08084368828347163,0.79,-0.07999999999999996,0.3054991414739911,0.0,0.0777030399657594,0.042736671981167686,True,True,,True,19
7,0.0,0.55,1.8,12,MODERATE,0.14997745786559902,0.87,0.0,0.99,0.12352512423058881,-0.026452333635010206,0.021579780911705877,0.79,-0.07999999999999996,0.42433883206529116,0.0,0.213177436032027,0.11724758981761493,True,True,,True,19
8,0.0,0.8,0.6,6,LARGE,0.18200950941190963,0.9,0.0,0.93,0.1160856402844867,-0.06592386912742293,0.15694090263525454,0.91,0.010000000000000009,0.49800203000079535,0.0,0.8100838834289311,0.6480671067431448,True,False,,True,19
9,0.0,0.8,0.6,12,LARGE,0.9531359970739375,0.94,0.0,0.94,0.18926828471720603,-0.7638677123567315,0.1364226179950947,0.93,-0.009999999999999898,0.4999706409552771,0.0,1.9353678922763784,1.5482943138211043,True,False,,True,19
10,0.0,0.8,1.8,6,LARGE,0.4418931986974274,0.91,0.0,0.99,0.36355368536243926,-0.07833951333498812,0.11155182935442001,0.91,0.0,0.3054991414739911,0.0,0.11547040558380128,0.09237632446704104,True,True,,True,19
11,0.0,0.8,1.8,12,LARGE,1.0842198912767604,0.93,0.0,0.99,0.21220263671272477,-0.8720172545640357,0.03425701514230304,0.93,0.0,0.42433883206529116,0.0,0.3124986875662672,0.24999895005301373,True,True,,True,10
12,0.45,0.3,0.6,6,LARGE,0.05439387979824861,0.79,0.0,0.99,0.045766962628550734,-0.008626917169697879,0.09545793242064952,0.03,-0.76,0.3054991414739911,0.0,0.04287922323340704,0.4115934223434061,True,True,,True,19
13,0.45,0.3,0.6,12,SMALL,0.0021878095752461135,0.45,0.0,0.45,0.0021878095752460025,-1.1102230246251565e-16,0.39536511490405496,0.0,-0.45,0.49999999999993383,0.0,1.427764514568393,1.1107113839977871,True,False,,True,3
14,0.45,0.3,1.8,6,LARGE,0.31427756908376636,0.79,0.0,0.99,0.3088234908285584,-0.005454078255207939,1.427162369559035,0.03,-0.76,0.3054991414739911,0.0,0.04287922323340704,0.4115934223434061,True,True,,True,19
15,0.45,0.3,1.8,12,SMALL,0.0021878095752458915,0.45,0.0,0.45,0.0021878095752461135,2.220446049250313e-16,0.31551512680544636,0.0,-0.45,0.49999999999993383,0.0,1.427764514568393,1.1107113839977871,True,False,,True,3
16,0.45,0.55,0.6,6,MODERATE,0.022935475232165214,0.82,0.0,0.82,0.017178293648527743,-0.005757181583637472,0.01125884013905386,0.91,0.09000000000000008,0.49997160396169715,0.0,1.8735844569075237,2.05285577862893,True,False,,True,15
17,0.45,0.55,0.6,12,MODERATE,0.028744193950804853,0.88,0.0,0.88,0.029797470901077316,0.0010532769502724637,0.011648841965444114,0.91,0.030000000000000027,0.4999999490135756,0.0,3.4596326965101185,3.639263587348055,True,False,,True,15
18,0.45,0.55,1.8,6,MODERATE,0.1781810974747956,0.82,0.0,0.99,0.13213438741174677,-0.046046710063048835,0.032718301841666665,0.9,0.08000000000000007,0.3054991414739911,0.0,0.07928845663242606,0.4619980874442625,True,True,,True,19
19,0.45,0.55,1.8,12,LARGE,0.471994108438871,0.88,0.0,0.88,0.029797470901077316,-0.4421966375377937,0.0041066743129853514,0.93,0.050000000000000044,0.4999999490135756,0.0,3.4596326965101185,3.639263587348055,True,False,,True,19
