dimension,regime,count,design_fraction
fixed_regime,INTERMEDIATE,2,0.05555555555555555
fixed_regime,LONG,21,0.5833333333333334
fixed_regime,MINIMAL,6,0.16666666666666666
fixed_regime,NEAR_PERMANENT,7,0.19444444444444445
adaptive_regime,LARGE,13,0.3611111111111111
adaptive_regime,MODERATE,15,0.4166666666666667
adaptive_regime,NEGLIGIBLE,3,0.08333333333333333
adaptive_regime,SMALL,5,0.1388888888888889
prediction_order,LONGER,11,0.3055555555555556
prediction_order,SAME,21,0.5833333333333334
prediction_order,SHORTER,4,0.1111111111111111
