phi,reputation,quality,grid,continuous,absolute_difference
0,0.05,0.35,0.8320000000000001,0.83136399656343,0.0006360034365701095
0,0.25,0.65,0.666,0.6650285652942621,0.0009714347057379058
0,0.65,0.2,0.908,0.9086375335218159,0.0006375335218158362
0.5,0.05,0.35,0.834,0.8342778381867668,0.00027783818676685446
0.5,0.25,0.65,0.668,0.6679694844350063,3.0515564993782718e-05
0.5,0.65,0.2,0.9,0.9006586600139133,0.000658660013913237
0.9,0.05,0.35,0.2,0.20051875969372832,0.0005187596937283045
0.9,0.25,0.65,0.444,0.4439397388849338,6.02611150661847e-05
0.9,0.65,0.2,0.47200000000000003,0.4721177484684114,0.00011774846841139386
0.99,0.05,0.35,0.014,0.0146186767565645,0.0006186767565644988
0.99,0.25,0.65,0.036000000000000004,0.036293976206512486,0.0002939762065124821
0.99,0.65,0.2,0.052000000000000005,0.052091867258382774,9.186725838276899e-05
