family,specification,horizon,fixed_phi,clean_phi,nonclean_phi,fixed_welfare,adaptive_welfare,gain,fixed_misconduct,adaptive_misconduct,adaptive_repeat,adaptive_effort,adaptive_quality,prediction_mse,nested_ok,allow_repeat
opportunity,logistic_slope_3,6,0.75,0.0,0.75,-0.3770486180729987,-0.3733625175556371,0.0036861005173616235,0.4999982165681908,0.4999982165681908,0.0,1.4749696644825627,2.0333353271460664,0.04632362727137431,True,True
opportunity,logistic_slope_6,6,0.9,0.0,0.99,-0.455490823761756,-0.4155730045460902,0.039917819215665784,0.499691958619244,0.3054991414739911,0.0,0.08103916915254043,0.6479030534725406,0.045834087725477084,True,True
opportunity,logistic_slope_10,6,0.9,0.25,0.99,-0.5028829382317261,-0.2566986185478787,0.24618431968384746,0.6767663853985407,0.3054991414739911,0.0,0.08466834218750002,0.6519245065535431,0.04824226471086596,True,True
opportunity,linear_slope_6,6,0.25,0.0,0.25,-0.35772953887956327,-0.35745916471694483,0.0002703741626184364,0.49999999668943146,0.49999999668943146,0.0,1.7362745280305656,2.2083757470614525,0.03381345986868869,True,True
opportunity,hard_slope_6,6,0.99,0.25,0.99,-0.7725957252677209,-0.07929656521762551,0.6932991600500954,0.3054991414739911,0.3054991414739911,0.0,0.0,0.564197593771824,0.055540838784667056,True,True
effort_cost,kappa_0.6,6,0.9,0.0,0.9,-0.05927104207393452,-0.034515778680498765,0.024755263393435756,0.7284194017009712,0.7284194017009712,0.0,2.110134109104412,2.7439106534725606,0.12734387938328273,True,True
effort_cost,kappa_1.2,6,0.9,0.0,0.99,-0.455490823761756,-0.4155730045460902,0.039917819215665784,0.499691958619244,0.3054991414739911,0.0,0.08103916915254043,0.6479030534725406,0.045834087725477084,True,True
effort_cost,kappa_2.5,6,0.9,0.0,0.99,-0.6195581111887974,-0.43772634831127744,0.18183176287752,0.499691958619244,0.3054991414739911,0.0,0.03548844245741841,0.6007067441474893,0.0489608933977179,True,True
persistence,rho_0,6,0.9,0.0,0.99,-0.8539032345469802,-0.605522282432313,0.24838095211466726,0.499691958619244,0.3054991414739911,0.0,0.07628291915254044,0.04195560553389724,0.09379746183381361,True,True
persistence,rho_0.45,6,0.9,0.0,0.99,-0.6019640645945359,-0.48292455832717734,0.11903950626735854,0.499691958619244,0.3054991414739911,0.0,0.08103916915254043,0.4636320216889872,0.05432453315386867,True,True
persistence,rho_0.9,6,0.9,0.0,0.9,0.4000438158997799,0.4342260721764503,0.03418225627667043,0.905493828480268,0.905493828480268,0.0,1.1327144038942818,3.7915107274647704,0.24041376428206052,True,True
rehabilitation,alpha_0.3,6,0.9,0.0,0.99,-0.6501965405005576,-0.4434100742973804,0.20678646620317725,0.499691958619244,0.3054991414739911,0.0,0.04311608902657019,0.5885932227241821,0.04985448120952861,True,True
rehabilitation,alpha_0.55,6,0.9,0.0,0.99,-0.455490823761756,-0.4155730045460902,0.039917819215665784,0.499691958619244,0.3054991414739911,0.0,0.08103916915254043,0.6479030534725406,0.045834087725477084,True,True
rehabilitation,alpha_0.8,6,0.9,0.0,0.9,-0.2745141902222338,-0.24789718823827028,0.026617001983963495,0.9205611317700002,0.9205611317700002,0.0,1.4323653133844783,2.739265142336081,0.14022728060228323,True,True
detection,detection_0.25,6,0.9,0.0,0.9,-0.4468477745226974,-0.4402166618980443,0.006631112624653102,0.49999900283052956,0.49999900283052956,0.0,1.0138070916201845,1.602536234909979,0.037677868707132973,True,True
detection,detection_0.65,6,0.9,0.0,0.99,-0.455490823761756,-0.4155730045460902,0.039917819215665784,0.499691958619244,0.3054991414739911,0.0,0.08103916915254043,0.6479030534725406,0.045834087725477084,True,True
detection,detection_0.95,6,0.9,0.0,0.99,-0.4697780024381381,-0.08346454452862442,0.38631345790951366,0.4969975861605199,0.0,0.0,0.0756136390625,0.6426526261374061,0.045904988504541604,True,True
normalization,threshold_0.35,6,0.9,0.0,0.99,-0.8301927598737614,-0.6236326456303297,0.20656011424343168,0.9341747240609859,0.322457319814286,0.0,0.10431358881680254,0.6715244843769147,0.045383691498797625,True,True
normalization,threshold_0.5,6,0.9,0.0,0.99,-0.455490823761756,-0.4155730045460902,0.039917819215665784,0.499691958619244,0.3054991414739911,0.0,0.08103916915254043,0.6479030534725406,0.045834087725477084,True,True
normalization,threshold_0.65,6,0.9,0.0,0.99,-0.5592006560431882,-0.3263476579686293,0.23285299807455895,0.499691958619244,0.3054991414739911,0.0,0.04900657618379044,0.6147379837736621,0.051018006551499274,True,True
initial_distribution,baseline,6,0.9,0.0,0.99,-0.455490823761756,-0.4155730045460902,0.039917819215665784,0.499691958619244,0.3054991414739911,0.0,0.08103916915254043,0.6479030534725406,0.045834087725477084,True,True
initial_distribution,high_quality,6,0.9,0.5,0.9,0.2477224364348259,0.2492545829174539,0.0015321464826280051,0.499691958619244,0.499691958619244,0.0,1.0869758489376455,1.9995901429499763,0.04038559095461561,True,True
initial_distribution,low_quality,6,0.9,0.0,0.99,-0.9221131678387894,-0.7766088635621091,0.14550430427668026,0.499691958619244,0.3054991414739911,0.0,0.07165166915254045,0.35554394854970095,0.04799808153170424,True,True
initial_distribution,high_adverse,6,0.9,0.75,0.9,-0.02508247319381314,-0.02480257190446218,0.0002799012893509589,0.09993839172384879,0.09993839172384879,0.0,1.5441407652065715,2.0845709203160516,0.03446472643083598,True,True
initial_distribution,low_adverse,6,0.9,0.0,0.99,-0.9950464506144034,-0.5573455539825689,0.43770089663183454,0.8994455255146391,0.549898454653184,0.0,0.027150872599572762,0.5747488428216331,0.040788457017980555,True,True
initial_distribution,bimodal,6,0.9,0.0,0.99,-0.4228615647404678,-0.1862654503321073,0.2365961144083605,0.499691958619244,0.3054991414739911,0.0,0.04900657618379043,0.6147379837736621,0.04221679319058937,True,True
horizon,T_3,3,0.99,0.0,0.99,-0.2091701813496152,-0.07262707987898606,0.13654310147062915,0.18814998915663886,0.18814998915663886,0.0,0.02482912479451663,0.5151356454060585,0.05777667260821238,True,True
horizon,T_6,6,0.9,0.0,0.99,-0.455490823761756,-0.4155730045460902,0.039917819215665784,0.499691958619244,0.3054991414739911,0.0,0.08103916915254043,0.6479030534725406,0.045834087725477084,True,True
horizon,T_12,12,0.9,0.0,0.9,-0.2383322568275068,-0.2118534633585334,0.026478793468973416,0.4999998102210156,0.4999998102210156,0.0,3.0398307264847406,3.941016074273715,0.05292768068890129,True,True
horizon,T_20,20,0.9,0.0,0.9,-0.5208775510754057,-0.49095393699470014,0.02992361408070554,0.9999857791712203,0.9999857791712203,0.0,4.704203901235401,5.914144546763685,0.058402150564174575,True,True
horizon,T_30,30,0.9,0.0,0.9,-0.7303938597708755,-0.6646734228182545,0.06572043695262098,0.9999950618869886,0.9999950618869886,0.0,4.685036137371523,5.937950980764136,0.03233114584070992,True,False
horizon,T_50,50,0.5,0.0,0.5,-1.212483706187576,-1.1931704382867494,0.019313267900826547,0.9999999999999998,0.9999999999999998,0.0,1.551519653337912,2.3629929373054077,0.011909413410151008,True,False
discounting,beta_0.7,6,0.9,0.0,0.99,-0.23617137639526958,-0.0968885079880846,0.13928286840718498,0.3516247458379371,0.2881236104254168,0.0,0.014705850000000003,0.45822466181763066,0.060135888304261594,True,True
discounting,beta_0.85,6,0.75,0.0,0.99,-0.3529034494798053,-0.2530891281085893,0.09981432137121599,0.49930054074853825,0.2881253724140406,0.0,0.04362707150536648,0.5527533886980337,0.05120102310037025,True,True
discounting,beta_0.95,6,0.9,0.0,0.99,-0.455490823761756,-0.4155730045460902,0.039917819215665784,0.499691958619244,0.3054991414739911,0.0,0.08103916915254043,0.6479030534725406,0.045834087725477084,True,True
discounting,beta_0.99,6,0.9,0.0,0.9,-0.36617270934858076,-0.36243143175027687,0.0037412775983038937,0.4999999549543921,0.4999999549543921,0.0,1.3942621701406255,2.0599064740998143,0.04809484385900295,True,True
social_harm,harm_0.3,6,0.9,0.0,0.9,-0.014769850475517626,0.011633561717781044,0.02640341219329867,0.499691958619244,0.499691958619244,0.0,0.9924085187982911,1.5795914529482622,0.037019498526571853,True,True
social_harm,harm_1.2,6,0.9,0.0,0.99,-0.455490823761756,-0.4155730045460902,0.039917819215665784,0.499691958619244,0.3054991414739911,0.0,0.08103916915254043,0.6479030534725406,0.045834087725477084,True,True
social_harm,harm_3,6,0.9,0.0,0.99,-1.3369327703342326,-0.9124386563178093,0.42449411401642334,0.499691958619244,0.3054991414739911,0.0,0.08103916915254043,0.6479030534725406,0.045834087725477084,True,True
private_benefit,benefit_0.75,6,0.9,0.0,0.99,-0.4925232990581959,-0.08346454452862442,0.4090587545295715,0.48028535163160996,0.0,0.0,0.0756136390625,0.6426526261374061,0.045904988504541604,True,True
private_benefit,benefit_1.5,6,0.9,0.0,0.99,-0.455490823761756,-0.4155730045460902,0.039917819215665784,0.499691958619244,0.3054991414739911,0.0,0.08103916915254043,0.6479030534725406,0.045834087725477084,True,True
private_benefit,benefit_3,6,0.9,0.0,0.9,-0.44770038795747036,-0.4383789998551443,0.009321388102326078,0.49999518685342553,0.49999518685342553,0.0,1.0101903584840346,1.5986325744633696,0.03755833792779625,True,True
repeat_misconduct,b_0.75_d_0.25_T_12,12,0.9,0.0,0.9,-0.2343388581092023,-0.217059326968704,0.017279531140498294,0.4999999918543098,0.4999999918543098,0.0,3.0829867469436443,3.9892991053102063,0.05426643034028178,True,True
repeat_misconduct,b_0.75_d_0.25_T_20,20,0.9,0.0,0.9,-0.5061561671773915,-0.4871329621080174,0.01902320506937416,0.9999983124926434,0.9999983124926434,0.0,4.758466450434548,5.975818569357658,0.059344820767167704,True,True
repeat_misconduct,b_0.75_d_0.65_T_12,12,0.9,0.0,0.9,-0.29235366673280727,-0.17632114081779182,0.11603252591501545,0.49922266527942155,0.49922266527942155,0.0,2.8006371425919174,3.673428798947223,0.04641426744666097,True,True
repeat_misconduct,b_0.75_d_0.65_T_20,20,0.9,0.0,0.9,-0.6486244803964852,-0.5064238842499774,0.14220059614650782,0.9954925930460008,0.9954925930460008,0.0,4.321410399288767,5.480100822324209,0.05196901286949881,True,True
repeat_misconduct,b_1.5_d_0.25_T_12,12,0.9,0.0,0.9,-0.2311458596678777,-0.2245145420019461,0.006631317665931613,0.49999999999801137,0.49999999999801137,0.0,3.148267701693074,4.062320579061612,0.05638753783694206,True,True
repeat_misconduct,b_1.5_d_0.25_T_20,20,0.9,0.0,0.9,-0.48875967095100237,-0.48182930787826883,0.006930363072733536,0.999999993645162,0.999999993645162,0.0,4.8333043685692605,6.06090651984698,0.06066350280461399,True,True
repeat_misconduct,b_1.5_d_0.65_T_12,12,0.9,0.0,0.9,-0.2383322568275068,-0.2118534633585334,0.026478793468973416,0.4999998102210156,0.4999998102210156,0.0,3.0398307264847406,3.941016074273715,0.05292768068890129,True,True
